"stand","year","month","date","quad","temp_C"
1,2010,8,"2010-08-02","0A",16.6666666666667
1,2010,8,"2010-08-02","0C",15.5555555555556
1,2010,8,"2010-08-02","0E",15
1,2010,8,"2010-08-02","0G",15
1,2010,8,"2010-08-02","0I",15
1,2010,8,"2010-08-02","2I",15
1,2010,8,"2010-08-02","2G",15.5555555555556
1,2010,8,"2010-08-02","2E",15.5555555555556
1,2010,8,"2010-08-02","2C",16.1111111111111
1,2010,8,"2010-08-02","2A",16.1111111111111
1,2010,8,"2010-08-02","4A",16.6666666666667
1,2010,8,"2010-08-02","4C",15
1,2010,8,"2010-08-02","4E",16.6666666666667
1,2010,8,"2010-08-02","4G",16.1111111111111
1,2010,8,"2010-08-02","4I",16.6666666666667
1,2010,8,"2010-08-02","6I",17.2222222222222
1,2010,8,"2010-08-02","6G",17.2222222222222
1,2010,8,"2010-08-02","6E",17.2222222222222
1,2010,8,"2010-08-02","6C",17.7777777777778
1,2010,8,"2010-08-02","6A",17.7777777777778
1,2010,8,"2010-08-02","8A",18.8888888888889
1,2010,8,"2010-08-02","8C",17.7777777777778
1,2010,8,"2010-08-02","8E",18.3333333333333
1,2010,8,"2010-08-02","8G",18.3333333333333
1,2010,8,"2010-08-02","8I",17.2222222222222
3,2010,8,"2010-08-07","0A",18.8888888888889
3,2010,8,"2010-08-07","0C",18.8888888888889
3,2010,8,"2010-08-07","0E",19.4444444444444
3,2010,8,"2010-08-07","0G",17.2222222222222
3,2010,8,"2010-08-07","0I",18.3333333333333
3,2010,8,"2010-08-07","2I",18.8888888888889
3,2010,8,"2010-08-07","2G",19.4444444444444
3,2010,8,"2010-08-07","2E",18.8888888888889
3,2010,8,"2010-08-07","2C",18.3333333333333
3,2010,8,"2010-08-07","2A",17.7777777777778
3,2010,8,"2010-08-07","4A",18.3333333333333
3,2010,8,"2010-08-07","4C",18.3333333333333
3,2010,8,"2010-08-07","4E",17.7777777777778
3,2010,8,"2010-08-07","4G",16.1111111111111
3,2010,8,"2010-08-07","4I",16.6666666666667
3,2010,8,"2010-08-07","6I",15.5555555555556
3,2010,8,"2010-08-07","6G",16.1111111111111
3,2010,8,"2010-08-07","6E",16.6666666666667
3,2010,8,"2010-08-07","6C",15.5555555555556
3,2010,8,"2010-08-07","6A",16.6666666666667
3,2010,8,"2010-08-07","8A",16.6666666666667
3,2010,8,"2010-08-07","8C",17.2222222222222
3,2010,8,"2010-08-07","8E",17.2222222222222
3,2010,8,"2010-08-07","8G",17.2222222222222
3,2010,8,"2010-08-07","8I",17.7777777777778
4,2010,8,"2010-08-06","0A",17.7777777777778
4,2010,8,"2010-08-06","0C",18.3333333333333
4,2010,8,"2010-08-06","0E",18.3333333333333
4,2010,8,"2010-08-06","0G",18.3333333333333
4,2010,8,"2010-08-06","0I",17.7777777777778
4,2010,8,"2010-08-06","2I",19.4444444444444
4,2010,8,"2010-08-06","2G",19.4444444444444
4,2010,8,"2010-08-06","2E",19.4444444444444
4,2010,8,"2010-08-06","2C",18.3333333333333
4,2010,8,"2010-08-06","2A",18.8888888888889
4,2010,8,"2010-08-06","4A",18.3333333333333
4,2010,8,"2010-08-06","4C",18.8888888888889
4,2010,8,"2010-08-06","4E",21.6666666666667
4,2010,8,"2010-08-06","4G",17.7777777777778
4,2010,8,"2010-08-06","4I",17.7777777777778
4,2010,8,"2010-08-06","6I",17.7777777777778
4,2010,8,"2010-08-06","6G",20
4,2010,8,"2010-08-06","6E",20.5555555555556
4,2010,8,"2010-08-06","6C",23.3333333333333
4,2010,8,"2010-08-06","6A",26.6666666666667
4,2010,8,"2010-08-06","8A",29.4444444444444
4,2010,8,"2010-08-06","8C",23.3333333333333
4,2010,8,"2010-08-06","8E",20.5555555555556
4,2010,8,"2010-08-06","8G",22.2222222222222
4,2010,8,"2010-08-06","8I",21.6666666666667
5,2010,8,"2010-08-04","0A",18.3333333333333
5,2010,8,"2010-08-04","0C",18.8888888888889
5,2010,8,"2010-08-04","0E",18.8888888888889
5,2010,8,"2010-08-04","0G",19.4444444444444
5,2010,8,"2010-08-04","0I",18.8888888888889
5,2010,8,"2010-08-04","2I",19.4444444444444
5,2010,8,"2010-08-04","2G",19.4444444444444
5,2010,8,"2010-08-04","2E",17.7777777777778
5,2010,8,"2010-08-04","2C",17.2222222222222
5,2010,8,"2010-08-04","2A",18.8888888888889
5,2010,8,"2010-08-04","4A",19.4444444444444
5,2010,8,"2010-08-04","4C",20
5,2010,8,"2010-08-04","4E",18.3333333333333
5,2010,8,"2010-08-04","4G",18.3333333333333
5,2010,8,"2010-08-04","4I",17.7777777777778
5,2010,8,"2010-08-04","6I",18.8888888888889
5,2010,8,"2010-08-04","6G",19.4444444444444
5,2010,8,"2010-08-04","6E",18.8888888888889
5,2010,8,"2010-08-04","6C",19.4444444444444
5,2010,8,"2010-08-04","6A",18.3333333333333
5,2010,8,"2010-08-04","8A",18.3333333333333
5,2010,8,"2010-08-04","8C",18.8888888888889
5,2010,8,"2010-08-04","8E",17.2222222222222
5,2010,8,"2010-08-04","8G",18.8888888888889
5,2010,8,"2010-08-04","8I",17.7777777777778
6,2010,8,"2010-08-04","0A",15.5555555555556
6,2010,8,"2010-08-04","0C",15
6,2010,8,"2010-08-04","0E",15.5555555555556
6,2010,8,"2010-08-04","0G",16.6666666666667
6,2010,8,"2010-08-04","0I",16.1111111111111
6,2010,8,"2010-08-04","2I",16.6666666666667
6,2010,8,"2010-08-04","2G",16.1111111111111
6,2010,8,"2010-08-04","2E",16.1111111111111
6,2010,8,"2010-08-04","2C",16.1111111111111
6,2010,8,"2010-08-04","2A",16.1111111111111
6,2010,8,"2010-08-04","4A",17.7777777777778
6,2010,8,"2010-08-04","4C",18.3333333333333
6,2010,8,"2010-08-04","4E",17.2222222222222
6,2010,8,"2010-08-04","4G",15.5555555555556
6,2010,8,"2010-08-04","4I",19.4444444444444
6,2010,8,"2010-08-04","6I",18.3333333333333
6,2010,8,"2010-08-04","6G",17.2222222222222
6,2010,8,"2010-08-04","6E",16.6666666666667
6,2010,8,"2010-08-04","6C",19.4444444444444
6,2010,8,"2010-08-04","6A",19.4444444444444
6,2010,8,"2010-08-04","8A",22.2222222222222
6,2010,8,"2010-08-04","8C",18.8888888888889
6,2010,8,"2010-08-04","8E",18.3333333333333
6,2010,8,"2010-08-04","8G",20.5555555555556
6,2010,8,"2010-08-04","8I",18.3333333333333
7,2010,8,"2010-08-03","0A",13.8888888888889
7,2010,8,"2010-08-03","0C",15.5555555555556
7,2010,8,"2010-08-03","0E",15.5555555555556
7,2010,8,"2010-08-03","0G",15
7,2010,8,"2010-08-03","0I",14.4444444444444
7,2010,8,"2010-08-03","2I",14.4444444444444
7,2010,8,"2010-08-03","2G",15
7,2010,8,"2010-08-03","2E",17.7777777777778
7,2010,8,"2010-08-03","2C",13.8888888888889
7,2010,8,"2010-08-03","2A",14.4444444444444
7,2010,8,"2010-08-03","4A",15.5555555555556
7,2010,8,"2010-08-03","4C",16.6666666666667
7,2010,8,"2010-08-03","4E",16.1111111111111
7,2010,8,"2010-08-03","4G",15
7,2010,8,"2010-08-03","4I",13.8888888888889
7,2010,8,"2010-08-03","6I",16.1111111111111
7,2010,8,"2010-08-03","6G",15.5555555555556
7,2010,8,"2010-08-03","6E",16.1111111111111
7,2010,8,"2010-08-03","6C",15.5555555555556
7,2010,8,"2010-08-03","6A",15
7,2010,8,"2010-08-03","8A",15
7,2010,8,"2010-08-03","8C",15.5555555555556
7,2010,8,"2010-08-03","8E",15.5555555555556
7,2010,8,"2010-08-03","8G",13.3333333333333
7,2010,8,"2010-08-03","8I",16.1111111111111
8,2010,8,"2010-08-05","0A",18.8888888888889
8,2010,8,"2010-08-05","0C",16.6666666666667
8,2010,8,"2010-08-05","0E",18.8888888888889
8,2010,8,"2010-08-05","0G",15
8,2010,8,"2010-08-05","0I",13.8888888888889
8,2010,8,"2010-08-05","2I",15.5555555555556
8,2010,8,"2010-08-05","2G",16.6666666666667
8,2010,8,"2010-08-05","2E",19.4444444444444
8,2010,8,"2010-08-05","2C",15.5555555555556
8,2010,8,"2010-08-05","2A",17.2222222222222
8,2010,8,"2010-08-05","4A",21.6666666666667
8,2010,8,"2010-08-05","4C",19.4444444444444
8,2010,8,"2010-08-05","4E",17.7777777777778
8,2010,8,"2010-08-05","4G",20
8,2010,8,"2010-08-05","4I",18.8888888888889
8,2010,8,"2010-08-05","6I",21.1111111111111
8,2010,8,"2010-08-05","6G",20.5555555555556
8,2010,8,"2010-08-05","6E",18.8888888888889
8,2010,8,"2010-08-05","6C",18.3333333333333
8,2010,8,"2010-08-05","6A",17.2222222222222
8,2010,8,"2010-08-05","8A",17.7777777777778
8,2010,8,"2010-08-05","8C",21.1111111111111
8,2010,8,"2010-08-05","8E",19.4444444444444
8,2010,8,"2010-08-05","8G",17.2222222222222
8,2010,8,"2010-08-05","8I",18.8888888888889
