stand;year;month;day;Time;date;quad;temp_C
1;2010;8;1;01/08/2010;02/08/2010;0A;16.66666667
1;2010;8;1;01/08/2010;02/08/2010;0C;15.55555556
1;2010;8;1;01/08/2010;02/08/2010;0E;15
1;2010;8;1;01/08/2010;02/08/2010;0G;15
1;2010;8;1;01/08/2010;02/08/2010;0I;15
1;2010;8;1;01/08/2010;02/08/2010;2A;16.11111111
1;2010;8;1;01/08/2010;02/08/2010;2C;16.11111111
1;2010;8;1;01/08/2010;02/08/2010;2E;15.55555556
1;2010;8;1;01/08/2010;02/08/2010;2G;15.55555556
1;2010;8;1;01/08/2010;02/08/2010;2I;15
1;2010;8;1;01/08/2010;02/08/2010;4A;16.66666667
1;2010;8;1;01/08/2010;02/08/2010;4C;15
1;2010;8;1;01/08/2010;02/08/2010;4E;16.66666667
1;2010;8;1;01/08/2010;02/08/2010;4G;16.11111111
1;2010;8;1;01/08/2010;02/08/2010;4I;16.66666667
1;2010;8;1;01/08/2010;02/08/2010;6A;17.77777778
1;2010;8;1;01/08/2010;02/08/2010;6C;17.77777778
1;2010;8;1;01/08/2010;02/08/2010;6E;17.22222222
1;2010;8;1;01/08/2010;02/08/2010;6G;17.22222222
1;2010;8;1;01/08/2010;02/08/2010;6I;17.22222222
1;2010;8;1;01/08/2010;02/08/2010;8A;18.88888889
1;2010;8;1;01/08/2010;02/08/2010;8C;17.77777778
1;2010;8;1;01/08/2010;02/08/2010;8E;18.33333333
1;2010;8;1;01/08/2010;02/08/2010;8G;18.33333333
1;2010;8;1;01/08/2010;02/08/2010;8I;17.22222222
3;2010;8;1;01/08/2010;07/08/2010;0A;18.88888889
3;2010;8;1;01/08/2010;07/08/2010;0C;18.88888889
3;2010;8;1;01/08/2010;07/08/2010;0E;19.44444444
3;2010;8;1;01/08/2010;07/08/2010;0G;17.22222222
3;2010;8;1;01/08/2010;07/08/2010;0I;18.33333333
3;2010;8;1;01/08/2010;07/08/2010;2A;17.77777778
3;2010;8;1;01/08/2010;07/08/2010;2C;18.33333333
3;2010;8;1;01/08/2010;07/08/2010;2E;18.88888889
3;2010;8;1;01/08/2010;07/08/2010;2G;19.44444444
3;2010;8;1;01/08/2010;07/08/2010;2I;18.88888889
3;2010;8;1;01/08/2010;07/08/2010;4A;18.33333333
3;2010;8;1;01/08/2010;07/08/2010;4C;18.33333333
3;2010;8;1;01/08/2010;07/08/2010;4E;17.77777778
3;2010;8;1;01/08/2010;07/08/2010;4G;16.11111111
3;2010;8;1;01/08/2010;07/08/2010;4I;16.66666667
3;2010;8;1;01/08/2010;07/08/2010;6A;16.66666667
3;2010;8;1;01/08/2010;07/08/2010;6C;15.55555556
3;2010;8;1;01/08/2010;07/08/2010;6E;16.66666667
3;2010;8;1;01/08/2010;07/08/2010;6G;16.11111111
3;2010;8;1;01/08/2010;07/08/2010;6I;15.55555556
3;2010;8;1;01/08/2010;07/08/2010;8A;16.66666667
3;2010;8;1;01/08/2010;07/08/2010;8C;17.22222222
3;2010;8;1;01/08/2010;07/08/2010;8E;17.22222222
3;2010;8;1;01/08/2010;07/08/2010;8G;17.22222222
3;2010;8;1;01/08/2010;07/08/2010;8I;17.77777778
4;2010;8;1;01/08/2010;06/08/2010;0A;17.77777778
4;2010;8;1;01/08/2010;06/08/2010;0C;18.33333333
4;2010;8;1;01/08/2010;06/08/2010;0E;18.33333333
4;2010;8;1;01/08/2010;06/08/2010;0G;18.33333333
4;2010;8;1;01/08/2010;06/08/2010;0I;17.77777778
4;2010;8;1;01/08/2010;06/08/2010;2A;18.88888889
4;2010;8;1;01/08/2010;06/08/2010;2C;18.33333333
4;2010;8;1;01/08/2010;06/08/2010;2E;19.44444444
4;2010;8;1;01/08/2010;06/08/2010;2G;19.44444444
4;2010;8;1;01/08/2010;06/08/2010;2I;19.44444444
4;2010;8;1;01/08/2010;06/08/2010;4A;18.33333333
4;2010;8;1;01/08/2010;06/08/2010;4C;18.88888889
4;2010;8;1;01/08/2010;06/08/2010;4E;21.66666667
4;2010;8;1;01/08/2010;06/08/2010;4G;17.77777778
4;2010;8;1;01/08/2010;06/08/2010;4I;17.77777778
4;2010;8;1;01/08/2010;06/08/2010;6A;26.66666667
4;2010;8;1;01/08/2010;06/08/2010;6C;23.33333333
4;2010;8;1;01/08/2010;06/08/2010;6E;20.55555556
4;2010;8;1;01/08/2010;06/08/2010;6G;20
4;2010;8;1;01/08/2010;06/08/2010;6I;17.77777778
4;2010;8;1;01/08/2010;06/08/2010;8A;29.44444444
4;2010;8;1;01/08/2010;06/08/2010;8C;23.33333333
4;2010;8;1;01/08/2010;06/08/2010;8E;20.55555556
4;2010;8;1;01/08/2010;06/08/2010;8G;22.22222222
4;2010;8;1;01/08/2010;06/08/2010;8I;21.66666667
5;2010;8;1;01/08/2010;04/08/2010;0A;18.33333333
5;2010;8;1;01/08/2010;04/08/2010;0C;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;0E;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;0G;19.44444444
5;2010;8;1;01/08/2010;04/08/2010;0I;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;2A;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;2C;17.22222222
5;2010;8;1;01/08/2010;04/08/2010;2E;17.77777778
5;2010;8;1;01/08/2010;04/08/2010;2G;19.44444444
5;2010;8;1;01/08/2010;04/08/2010;2I;19.44444444
5;2010;8;1;01/08/2010;04/08/2010;4A;19.44444444
5;2010;8;1;01/08/2010;04/08/2010;4C;20
5;2010;8;1;01/08/2010;04/08/2010;4E;18.33333333
5;2010;8;1;01/08/2010;04/08/2010;4G;18.33333333
5;2010;8;1;01/08/2010;04/08/2010;4I;17.77777778
5;2010;8;1;01/08/2010;04/08/2010;6A;18.33333333
5;2010;8;1;01/08/2010;04/08/2010;6C;19.44444444
5;2010;8;1;01/08/2010;04/08/2010;6E;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;6G;19.44444444
5;2010;8;1;01/08/2010;04/08/2010;6I;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;8A;18.33333333
5;2010;8;1;01/08/2010;04/08/2010;8C;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;8E;17.22222222
5;2010;8;1;01/08/2010;04/08/2010;8G;18.88888889
5;2010;8;1;01/08/2010;04/08/2010;8I;17.77777778
6;2010;8;1;01/08/2010;04/08/2010;0A;15.55555556
6;2010;8;1;01/08/2010;04/08/2010;0C;15
6;2010;8;1;01/08/2010;04/08/2010;0E;15.55555556
6;2010;8;1;01/08/2010;04/08/2010;0G;16.66666667
6;2010;8;1;01/08/2010;04/08/2010;0I;16.11111111
6;2010;8;1;01/08/2010;04/08/2010;2A;16.11111111
6;2010;8;1;01/08/2010;04/08/2010;2C;16.11111111
6;2010;8;1;01/08/2010;04/08/2010;2E;16.11111111
6;2010;8;1;01/08/2010;04/08/2010;2G;16.11111111
6;2010;8;1;01/08/2010;04/08/2010;2I;16.66666667
6;2010;8;1;01/08/2010;04/08/2010;4A;17.77777778
6;2010;8;1;01/08/2010;04/08/2010;4C;18.33333333
6;2010;8;1;01/08/2010;04/08/2010;4E;17.22222222
6;2010;8;1;01/08/2010;04/08/2010;4G;15.55555556
6;2010;8;1;01/08/2010;04/08/2010;4I;19.44444444
6;2010;8;1;01/08/2010;04/08/2010;6A;19.44444444
6;2010;8;1;01/08/2010;04/08/2010;6C;19.44444444
6;2010;8;1;01/08/2010;04/08/2010;6E;16.66666667
6;2010;8;1;01/08/2010;04/08/2010;6G;17.22222222
6;2010;8;1;01/08/2010;04/08/2010;6I;18.33333333
6;2010;8;1;01/08/2010;04/08/2010;8A;22.22222222
6;2010;8;1;01/08/2010;04/08/2010;8C;18.88888889
6;2010;8;1;01/08/2010;04/08/2010;8E;18.33333333
6;2010;8;1;01/08/2010;04/08/2010;8G;20.55555556
6;2010;8;1;01/08/2010;04/08/2010;8I;18.33333333
7;2010;8;1;01/08/2010;03/08/2010;0A;13.88888889
7;2010;8;1;01/08/2010;03/08/2010;0C;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;0E;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;0G;15
7;2010;8;1;01/08/2010;03/08/2010;0I;14.44444444
7;2010;8;1;01/08/2010;03/08/2010;2A;14.44444444
7;2010;8;1;01/08/2010;03/08/2010;2C;13.88888889
7;2010;8;1;01/08/2010;03/08/2010;2E;17.77777778
7;2010;8;1;01/08/2010;03/08/2010;2G;15
7;2010;8;1;01/08/2010;03/08/2010;2I;14.44444444
7;2010;8;1;01/08/2010;03/08/2010;4A;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;4C;16.66666667
7;2010;8;1;01/08/2010;03/08/2010;4E;16.11111111
7;2010;8;1;01/08/2010;03/08/2010;4G;15
7;2010;8;1;01/08/2010;03/08/2010;4I;13.88888889
7;2010;8;1;01/08/2010;03/08/2010;6A;15
7;2010;8;1;01/08/2010;03/08/2010;6C;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;6E;16.11111111
7;2010;8;1;01/08/2010;03/08/2010;6G;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;6I;16.11111111
7;2010;8;1;01/08/2010;03/08/2010;8A;15
7;2010;8;1;01/08/2010;03/08/2010;8C;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;8E;15.55555556
7;2010;8;1;01/08/2010;03/08/2010;8G;13.33333333
7;2010;8;1;01/08/2010;03/08/2010;8I;16.11111111
8;2010;8;1;01/08/2010;05/08/2010;0A;18.88888889
8;2010;8;1;01/08/2010;05/08/2010;0C;16.66666667
8;2010;8;1;01/08/2010;05/08/2010;0E;18.88888889
8;2010;8;1;01/08/2010;05/08/2010;0G;15
8;2010;8;1;01/08/2010;05/08/2010;0I;13.88888889
8;2010;8;1;01/08/2010;05/08/2010;2A;17.22222222
8;2010;8;1;01/08/2010;05/08/2010;2C;15.55555556
8;2010;8;1;01/08/2010;05/08/2010;2E;19.44444444
8;2010;8;1;01/08/2010;05/08/2010;2G;16.66666667
8;2010;8;1;01/08/2010;05/08/2010;2I;15.55555556
8;2010;8;1;01/08/2010;05/08/2010;4A;21.66666667
8;2010;8;1;01/08/2010;05/08/2010;4C;19.44444444
8;2010;8;1;01/08/2010;05/08/2010;4E;17.77777778
8;2010;8;1;01/08/2010;05/08/2010;4G;20
8;2010;8;1;01/08/2010;05/08/2010;4I;18.88888889
8;2010;8;1;01/08/2010;05/08/2010;6A;17.22222222
8;2010;8;1;01/08/2010;05/08/2010;6C;18.33333333
8;2010;8;1;01/08/2010;05/08/2010;6E;18.88888889
8;2010;8;1;01/08/2010;05/08/2010;6G;20.55555556
8;2010;8;1;01/08/2010;05/08/2010;6I;21.11111111
8;2010;8;1;01/08/2010;05/08/2010;8A;17.77777778
8;2010;8;1;01/08/2010;05/08/2010;8C;21.11111111
8;2010;8;1;01/08/2010;05/08/2010;8E;19.44444444
8;2010;8;1;01/08/2010;05/08/2010;8G;17.22222222
8;2010;8;1;01/08/2010;05/08/2010;8I;18.88888889