"stand","month","year","date","quad","PIBA","PIGL","POTR","ALCR","AMAL","ARUV","PRPE","PRVI","ROAC","RUID","SABE","SHCA","SYAL","VAMY","VAVI","ACMI","ANMU","ANPA","ANRA","ARCA","ASLA","CARO","EPAN","ERGL","FRVI","GABO","GELI","HIUM","LAOC","LIBO","LIPH","MACA","ORSE","PYCH","SOSP","VIAD","CXSI","CXRI","ELGL","ELIN","ORAS","ORPU","SCPU","EQVA","LYCO","GEAM","ROWO","MELI","AGSC","ARLY","VIRE","AGSU","CAIN","CXDE","PIMA","TEMP","ARNU","EQAR","OBSN","FESA","LYAN","ABBA","BEPA","LEGR","LODI","VIED","ACRU","COCA","GORE","RUPU","DRCA","CACA","TRBO","COTR","DITR","COST","FZSB","UNKA","ORC1","ASCI","COAU","GEBI","CXHO","CXAE","CRTE","TRHY","TAOF","RILA","LOIN","RITR","VACA","MEPA","MINU","PEPA","PYAS","EQPR","LYOB","CABU","RIGL","MOUN","GYDR","POBA","SALIX","RIOX","UNKNA","HERBB","HERBD","EQSY","LAVE","VIAM","CXBY","DRPA","MEAL","ASCO","CXVA","CHCA","EPCI","SEIN","CIAR","SOUL","TRPR","MEOF","TRRE","SAAR","SOCA","SAPS","FRVE","GATR","OSCH","BRCI","AGTR","AQBR","LOCA","POYE","MINT","SASP","RUSP","SEER","THVE","ASPU","PESA","STLO","GERI","LALA","GEPU","ALTE","HAHY","SAPL","SAMY","ACSI","SAMA","ANPO","BEPU","OXMI","SACA","SAPE","ASBO","DRRO","GALA","METR","ORRO","PAPA","POPA","RUAC","SMTR","SPRO","TOGL","CXDI","CXGY","CXIN","CXLI","CXAQ","TRMA","EQFL","EQSC","MUGL","ERGR","ARLA","EPPA","CXYL","CXSO","CXRO","CXPR","CXLE","CXSP","MAMO","CXDS","RUCH","CXCO","HERB","UNKR","FRSP","ARSP","LASP","POT3","CXNL","CXTU","HOJU","TYLA","CXDW","RHMI","SADI","ERBR","PEFR","RIHU","EQPA","SAPY","CXAU","JUBA","SALU","CXCA","POPL","RUOC","CXNO","EAPN"
1,8,2010,"2010-08-02","0A",2,0,0,0,0.1,3,0,0,0.1,0,0,0,0,0.5,2,0,0.01,0.01,0,0,0.1,0.01,0,0.1,0,0.01,0,0,0,0,0,0.5,0,0,0.01,0,0.1,0.01,0,0.01,0,0.1,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","0C",35,0,0,0,0.1,2,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.1,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","0E",17,0,0,3,0,1,0,0,0,0,0,0.5,0,0.1,0.5,0,0,0,0,0,0.01,0.01,0,0,0,0.1,0.5,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","0G",15,0,0,3,0.01,1,0.1,0,0,0,0,0,0,0.5,1,0,0,0.01,0,0,0.1,0.01,0,0,0,0.1,2,0,0,0.5,0,1,0,0,0,0,0.01,0,0,0.1,0,0.01,0,0.01,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","0I",21,0,0,15,0.1,0.1,0,0,0.1,0.01,0,0,0,0.5,0.5,0,0,0.01,0,0,0.01,0.01,0,0,0,0.01,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","2A",25,0.01,0,0.1,0,0.5,0,0,0.01,0,0,0.5,0,0.1,0.1,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.1,0,0.1,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","2C",25,0,0,0,0.1,15,0,0,0.1,0,0,0,0,0.1,11,0,0,0.01,0,0,0.01,0.01,0,0,0,0.1,0.01,0,0,0,0,0.5,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","2E",13,0.01,0,0,1,12,0,0,0.1,0,0,2,0,1,2,0,0.01,0.01,0,0,0.01,0.01,0,0,0,0.1,0,0,0,0.1,0,0.5,0,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","2G",19,0,0,0,0.5,1,0,0,0.01,0,0,0,0,0.1,1,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0.5,0,0,0.5,0,0.5,0,0,0,0,0.01,0,0,0.1,0.01,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","2I",16,0,0,9,0,0.5,0.1,0,0.1,0.1,0,1,0,1,1,0,0,0.01,0,0,0.01,0,0,0,0.1,0.01,0.1,0,0,1,0,1,0.1,0.01,0,0,0,0,0,0.5,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","4A",5.5,0,0,0,0.25,2.5,0,0,0,0,0,0,0,0.05,1,0,0,0.005,0,0,0.05,0,0.005,0,0,0.05,0,0.005,0,0.005,0,0.05,0,0.005,0,0,0,0,0,0.05,0.005,0.05,0,0.005,0.25,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","4C",9,0,0,0,0.5,3.5,0,0,0.5,0,0,1.5,0,0.5,2,0,0,0.005,0,0,0.05,0,0,0,0,0.25,0,0,0,0.05,0,0.25,0,0,0,0,0,0,0,0.05,0.005,0.005,0,0.005,5.5,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","4E",4.5,0,0,0,1,1,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.005,0,0,0.005,0.05,0,0.005,0,0.25,0.005,0.5,0.05,0.005,0,0.005,0,0,0,0.05,0.005,0.005,0.005,0.005,3,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","4G",2.5,0,0,0,0.05,3,0,0,0.05,0,0,0.05,0,0.5,1,0,0,0.005,0,0,0.05,0.005,0,0,0,0.05,0,0,0,0.05,0,0.25,0,0.005,0.005,0,0,0,0,0.05,0,0.005,0,0.005,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","4I",6,0.25,0,0,0.05,7,0.005,0,0.005,0,0,0.05,0,0.25,5,0,0,0.05,0,0,0,0.005,0,0,0,0.005,0,0.005,0.005,0.5,0,0.5,0,0,0.005,0,0.005,0,0,0,0.005,0.05,0,0,0,0,0,0.25,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","6A",20,0,0,0,1,18,0,0,0.01,0,0,0,0,2,4,0,0.01,0.01,0,0,0.1,0.01,0,0,0,0.5,0,0.01,0,1,0,0.5,0,0.01,0,0.01,0,0,0,0.1,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","6C",14,0,0,0,1,12,0,0,0,0,0,2,0,0.5,12,0,0.01,0.1,0,0,0.1,0.01,0,0,0,0.01,0,0.1,0,0.5,0,1,0,0,0,0,0.1,0,0,0,0,0.01,0,0.01,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","6E",7,0,0,0,0.5,17,0,0,0.1,0,0,0,0,1,10,0,0,0.01,0,0,0.1,0.01,0,0,0,0.1,0,0.01,0,0,0,2,0,0,0.01,0,0.01,0,0,0.1,0.01,0.01,0,0.01,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","6G",40,0,0,0,0.5,20,0,0,0.1,0,0,0,0,0.1,15,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","6I",20,0,0,0,0,14,0,0,0.01,0,0,0,0,1,14,0,0.01,0,0,0,0.01,0.01,0,0,0,0.5,0,0,0,0.1,0,2,0,0,0,0,0.01,0,0,0,0.01,0.01,0,0.01,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2010,"2010-08-02","8A",1,0,0,0,0,38,0,0,0,0,0,0,0,0.01,10,0,0,0,0,0,0.1,0.01,0,0,0,0.1,0.01,0.01,0,0,0,0.1,0,0,0,0,0.1,0,0,0.01,0.01,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
